"","Grouping","DGKE","MGAT3-AS1","NPPA","B2M","MB","ALB","LCN2","PIK3C2A","CST3","SLC22A12","REN","GPT","ADAMTS13","CFH","HGF","SLK","IL18","HP","CPT2","AMBP","SLC22A6","UMOD","HAVCR1","MAP4K2","PRTN3","F2","KNG1","MIR21","RBP4","BMAL2","SLC9A3","HMGCR","CBS","FABP1","XDH","IL6","HPRT1"
"sample_233",0,39.0011397781952,0.422033752619917,0,4460.66225130187,1.61206373004578,0.355622349923382,3.22198881422328,106.999465122804,55.5813057977177,0.404333991544283,0.718785255830091,0.115352803954291,1.92166130637569,7.77974520063024,0.864612171976902,22.2336892411278,23.2883789975924,1.09607722975081,4.36075483255437,0.666157872598157,0.945659432192209,0.272362171237216,0.728028781310997,19.8792246749671,0,1.72272794102228,0.151094758306771,0,0,0.426314013802675,0.491853557958837,20.4291684552451,0.237393985848703,0.839013208801272,0.330980801267273,75.9760251867745,14.7648281454211
"sample_234",0,44.4453142495592,0,0,5860.79957962122,0,0.855556747946957,0.596266554288504,127.598796792677,113.713802224311,0,0,0.0925053124838367,0.456605971813208,9.50223420000541,5.43133351336364,29.4797069150452,10.3411112785274,0.988854050919136,10.9282396759805,0,0,0,0.912235761775008,14.3853721002918,0,0,0,0,0.128268401328425,0.463974052095836,0.0910232291695142,31.3259772215147,0.0634580871029934,0,0,2.20752690694893,18.8480071526207
"sample_235",0,50.3649016879893,0.342629760996059,0.598700424477323,4336.94380407309,0.654380137971379,1.44356701333365,2.21335593247218,132.069254653769,51.7704601683229,0.196956084235518,0.350129181209379,0.561897763916697,0.404472518399004,9.61977931470824,1.72559952649746,37.6488252747689,6.40642349818454,1.22355008522582,5.87942006327212,0.13520572185106,0.095967165903283,0.0737060997736662,1.81009989777567,19.1233141740319,0.518631066796466,1.39860345062326,0.368000620365285,0,0.12985511489805,0.618044121182401,0.245731227328226,14.3238415252343,0.064243080186761,2.04346851468308,0.208995161300483,3.91096053317701,17.124119667846
"sample_236",0,46.5208818321372,0,0,5715.63766213258,0,1.07064747618495,1.86542646941423,109.82806657539,96.8096162578583,0,0,0,0.642823560879077,11.2605470249378,2.30476413979049,32.6198668295146,6.0841601771664,1.13433494828526,9.49480647136897,0,0,0,1.43838556256023,20.4292256795354,0,0.259324860010371,0,0,0,0.412545198915369,0.199337021106082,27.5839155955656,0,0,0,1.45031716076527,14.8549459236048
"sample_237",0,52.9379302256073,0,0.498299779901398,5502.06186541949,0.408481602891367,0,1.50723931066873,109.297505395698,84.6214930548926,0.327854029869715,0.485688909958613,0.467668838436548,1.05802222146352,6.38907718933939,3.57838006153052,24.6943925037759,11.1843659389957,2.40704130969319,9.26073247864177,0.337596126636843,0.0798736992530362,0.0613457612405609,1.13759930267596,19.7712830677961,0.431657864048324,1.39687315349408,0,0,0.432314877540026,0.493823601061368,0.409045363879455,24.8056419152388,0.160409002942656,0.566927893300992,0.124247976615834,2.60408136451418,16.3903121152514
"sample_238",0,37.4541128269082,0,0,5072.12287029648,0,0.616351070275699,0.859111987105986,103.470951566952,138.732729272663,0,0,0,1.23353702178442,6.32689989593087,4.18334818815681,29.5524864454345,13.5097720170183,4.15554820360262,10.5945473800799,0,0,0,1.26179166930656,19.0872637762117,0,0,0,0,0,0.343047324900622,0.196721952763063,32.1345840997393,0,0,0,0.477096899191798,11.2281933683988
"sample_239",0,34.8959523006343,0.321251374103723,0.374229670885741,4449.43502637385,0.15338752090475,0.270699127417351,2.64123181633391,90.4864086990537,99.5147987573553,0.184667007661009,0.328282867928155,0.087806358015178,1.62529479482209,1.82213193967716,3.51008700563383,23.1379793831272,9.81581808456487,3.33732848612577,8.17994791919388,0,0.179958587518171,0.0691072070426152,1.35079978087086,22.4518166862411,0.162090358970268,0.524535030503784,0.115013072827933,0,0,0.533122752678071,0.345598237919685,21.3939221425211,0,0,0.25194202252544,2.51447048021461,15.0235104973324
"sample_240",0,59.0308585242461,0,0,5092.9989763248,0.298878516787275,0.527462424719336,0.551409716407655,100.387721477516,71.0547746390251,0,0,0.171092367183934,1.47789505659593,7.01215636324632,2.0839015130881,24.8125683588459,7.42214983355066,0,8.72013231648356,0,0,0,1.28228524944218,23.2042137793278,0,0.255516633614039,0,0,0,0.316156483782077,0.168351193344263,20.1545800634767,0,0,0,1.12280066244283,13.2960232502101
"sample_241",0,39.9512589556407,0,0,4963.8361084338,0,0,1.49703501657543,107.014308350157,93.7130122818461,0,0,0.0995362783484367,0.79838005044398,2.68521217421535,2.11384071687657,24.6301865845606,5.3144351399517,0.118223663070959,8.60076053772102,0,0,0,1.33493686320177,20.3761220957232,0.367487536273256,0.297303441230905,0,0,0,0.315308778587398,0.163235912827049,19.1237483051561,0,0,0,2.49407798439285,16.2504569131588
"sample_242",0,37.0095811847621,0,0,7167.17277831154,0,0,3.9489923222503,101.788940103968,132.535959637086,0,0,0,0.53716487075435,14.3529134685697,4.68267281486548,35.9615268763417,13.2348722826295,7.81289690764569,11.2319226254195,0,0,0,0.915781403384625,13.6866682858754,0,0,0,0,0.134132239416336,0.561792926260135,0.0317281300797599,29.8508434435973,0,0,0,0.577111206919011,13.3924550787563
"sample_243",0,36.9811475163106,0,0.614768004984084,4860.57849311408,1.17589853302325,0.296461728291817,3.09921370437141,96.7883337413737,112.024911705537,0.337069798808126,0.479367664625072,0.384651770407166,1.48331257552035,8.28151318786931,2.88310809330897,27.3994724490415,6.89925082516479,7.30988814270515,8.43910877534654,0.416502887687315,0.492713389821327,0,0.758644214853708,16.2779763905398,0.177516597183854,1.43613837229888,0.251917874076871,0,0.133340092405224,0.964638871917941,0.504652043695306,20.8495988494455,0.065967199329994,0.349718326188551,0.153288610166635,1.83584944513911,15.8253183218484
